"Date","Open","High","Low","Close","Volume"
"2021-09-29","18.04","18.15","17.56","17.58","23570940"
"2021-09-30","17.69","18.22","17.65","18.05","22321010"
"2021-10-01","18.08","18.08","17.73","17.99","20640210"
"2021-10-04","17.99","18.42","17.96","18.23","17838550"
"2021-10-05","18.15","18.19","17.81","18.15","17431540"
"2021-10-06","18.06","18.46","18.015","18.45","13852110"
"2021-10-07","18.35","18.63","18.34","18.59","16260520"
"2021-10-08","19.03","19.07","18.51","18.52","16069190"
"2021-10-11","18.61","18.73","18.35","18.44","9293480"
"2021-10-12","18.49","18.83","18.31","18.66","15417110"
"2021-10-13","18.91","19.42","18.88","19.23","23840070"
"2021-10-14","19.49","19.74","19.395","19.57","19849770"
"2021-10-15","19.17","19.255","18.8","19.13","17787410"
"2021-10-18","19.08","19.24","18.9","19.07","11392430"
"2021-10-19","19.44","19.49","19.07","19.31","12754420"
"2021-10-20","19.43","19.67","19.325","19.42","13301830"
"2021-10-21","19.32","19.43","19.21","19.37","9917573"
"2021-10-22","19.69","20.05","19.425","19.48","19840710"
"2021-10-25","19.76","19.77","19.52","19.55","12533040"
"2021-10-26","19.46","19.575","19.3029","19.43","12052220"
"2021-10-27","19.37","19.53","19.3","19.39","10707470"
"2021-10-28","19.42","19.47","18.9","18.94","20967420"
"2021-10-29","18.63","18.72","18.37","18.37","22767490"
"2021-11-01","18.37","18.71","18.22","18.48","16112530"
"2021-11-02","18.49","18.5","18.26","18.47","14785650"
"2021-11-03","18.2","18.77","18.19","18.62","19232400"
"2021-11-04","18.86","19.13","18.6","18.75","20082420"
"2021-11-05","18.93","19.6","18.81","19.6","21084940"
"2021-11-08","19.76","19.795","19.335","19.48","17193920"
"2021-11-09","19.51","19.64","19.27","19.62","14107620"
"2021-11-10","20.25","20.62","20.22","20.46","31575240"
"2021-11-11","20.85","20.91","20.56","20.65","23589300"
"2021-11-12","20.5","20.95","20.39","20.75","15506730"
"2021-11-15","20.75","20.96","20.6","20.9","15553770"
"2021-11-16","20.85","21.05","20.52","20.6","18463120"
"2021-11-17","20.8","21.19","20.73","20.99","18679280"
"2021-11-18","20.9","20.9927","20.49","20.56","14808210"
"2021-11-19","20.45","20.71","20.15","20.25","17863710"
"2021-11-22","19.82","20.025","19.53","19.79","19189570"
"2021-11-23","19.5","19.67","19.31","19.43","13581530"
"2021-11-24","19.23","19.53","19.225","19.39","13868970"
"2021-11-26","19.8","19.83","19.22","19.38","13971870"
"2021-11-29","19.05","19.2","18.88","19.15","17859590"
"2021-11-30","19.35","19.76","18.925","18.99","21082990"
"2021-12-01","19.09","19.4371","18.38","18.39","20580280"
"2021-12-02","18.36","18.39","17.94","18.18","23330250"
"2021-12-03","18.2","18.26","17.83","18.22","22027120"
"2021-12-06","18.11","18.545","18.03","18.49","17623900"
"2021-12-07","18.51","18.74","18.41","18.56","15898820"
"2021-12-08","18.48","18.66","18.35","18.6","9924779"
"This document was made with Webix library. http://webix.com","","","","",""
